fwd_index,rev_index,Forward_Primer_2ndRd_Sequence,Reverse_Primer_2ndRd_Sequence,Sample
S5_I18,N7_I18,,,
S5_I19,N7_I19,,,
S5_I20,N7_I20,,,
S5_I21,N7_I21,,,
S5_I22,N7_I22,,,
S5_I23,N7_I23,,,
S5_I24,N7_I24,,,
S5_J1,N7_J1,,,
S5_J2,N7_J2,,,
S5_J3,N7_J3,,,
S5_J4,N7_J4,,,
S5_J5,N7_J5,,,
S5_J6,N7_J6,,,
S5_J7,N7_J7,,,
S5_J8,N7_J8,,,
S5_J9,N7_J9,,,
S5_J10,N7_J10,,,
S5_J11,N7_J11,,,
S5_J12,N7_J12,,,
S5_J13,N7_J13,,,
S5_J14,N7_J14,,,
S5_J15,N7_J15,,,
S5_J16,N7_J16,,,
S5_J17,N7_J17,,,
S5_J18,N7_J18,,,
S5_J19,N7_J19,,,
S5_J20,N7_J20,,,
S5_J21,N7_J21,,,
S5_J22,N7_J22,,,
S5_J23,N7_J23,,,
S5_J24,N7_J24,,,
S5_K1,N7_K1,,,
S5_K2,N7_K2,,,
S5_K3,N7_K3,,,
S5_K4,N7_K4,,,
S5_K5,N7_K5,,,
S5_K6,N7_K6,,,
S5_K7,N7_K7,,,
S5_K8,N7_K8,,,
S5_K9,N7_K9,,,
S5_K10,N7_K10,,,
S5_K11,N7_K11,,,
S5_K12,N7_K12,,,
S5_K13,N7_K13,,,
S5_K14,N7_K14,,,
S5_K15,N7_K15,,,
S5_K16,N7_K16,,,
S5_K17,N7_K17,,,
S5_K18,N7_K18,,,
S5_K19,N7_K19,,,
S5_K20,N7_K20,,,
S5_K21,N7_K21,,,
S5_K22,N7_K22,,,
S5_K23,N7_K23,,,
S5_K24,N7_K24,,,
S5_L1,N7_L1,,,
S5_L2,N7_L2,,,
S5_L3,N7_L3,,,
S5_L4,N7_L4,,,
S5_L5,N7_L5,,,
S5_L6,N7_L6,,,
S5_L7,N7_L7,,,
S5_L8,N7_L8,,,
S5_L9,N7_L9,,,
S5_L10,N7_L10,,,
S5_L11,N7_L11,,,
S5_L12,N7_L12,,,
S5_L13,N7_L13,,,
S5_L14,N7_L14,,,
S5_L15,N7_L15,,,
S5_L16,N7_L16,,,
S5_L17,N7_L17,,,
S5_L18,N7_L18,,,
S5_L19,N7_L19,,,
S5_L20,N7_L20,,,
S5_L21,N7_L21,,,
S5_L22,N7_L22,,,
S5_L23,N7_L23,,,
S5_L24,N7_L24,,,
S5_M1,N7_M1,,,
S5_M2,N7_M2,,,
S5_M3,N7_M3,,,
S5_M4,N7_M4,,,
S5_M5,N7_M5,,,
S5_M6,N7_M6,,,
S5_M7,N7_M7,,,
S5_M8,N7_M8,,,
S5_M9,N7_M9,,,
S5_M10,N7_M10,,,
S5_M11,N7_M11,,,
S5_M12,N7_M12,,,
S5_M13,N7_M13,,,
S5_M14,N7_M14,,,
S5_M15,N7_M15,,,
S5_M16,N7_M16,,,
S5_M17,N7_M17,,,
S5_M18,N7_M18,,,
S5_M19,N7_M19,,,
S5_M20,N7_M20,,,
S5_M21,N7_M21,,,
S5_M22,N7_M22,,,
S5_M23,N7_M23,,,
S5_M24,N7_M24,,,
S5_N1,N7_N1,,,
S5_N2,N7_N2,,,
S5_N3,N7_N3,,,
S5_N4,N7_N4,,,
S5_N5,N7_N5,,,
S5_N6,N7_N6,,,
S5_N7,N7_N7,,,
S5_N8,N7_N8,,,
S5_N9,N7_N9,,,
